0	8	10									
7	0	8									
6	6	0									
0	5	8									
5	0	9									
10	7	0									
0	6	10									
7	0	9									
9	5	0									
0	5	8									
6	0	6									
5	7	0									
0	9	7									
7	0	9									
5	6	0									
0	5	10									
9	0	9									
8	5	0									
0	8	9									
8	0	8									
8	8	0									
0	10	9									
8	0	10									
6	5	0									
0	10	6									
10	0	7									
8	10	0									
0	8	9									
9	0	6									
6	8	0									
0	7	9									
9	0	8									
5	9	0									
0	8	8									
8	0	10									
9	5	0									
0	6	8									
6	0	7									
8	5	0									
0	6	8									
8	0	6									
5	9	0									
0	10	6									
10	0	7									
7	8	0									
0	10	10									
9	0	7									
10	10	0									
0	8	5									
6	0	10									
7	7	0									
0	5	8									
6	0	6									
6	8	0									
0	8	5									
9	0	6									
10	10	0									
0	6	7									
10	0	8									
6	7	0									
0	9	10									
9	0	5									
5	9	0									
0	7	9									
7	0	5									
10	9	0									
0	8	9									
5	0	10									
7	9	0									
0	5	10									
9	0	7									
8	10	0									
0	7	5									
8	0	5									
8	7	0									
0	8	8									
6	0	10									
8	10	0									
0	10	9									
10	0	8									
8	6	0									
0	10	6									
8	0	8									
6	10	0									
0	6	10									
5	0	6									
6	8	0									
0	6	8									
9	0	9									
7	8	0									
0	9	5									
7	0	9									
8	6	0									
0	5	10									
9	0	8									
10	8	0									
0	9	5									
6	0	9									
9	7	0									
0	6	6									
5	0	7									
7	9	0									
0	10	10									
9	0	5									
7	5	0									
0	9	10									
7	0	6									
6	6	0									
0	9	8									
9	0	9									
5	10	0									
0	5	7									
6	0	9									
7	5	0									
0	9	10									
7	0	8									
5	5	0									
0	10	10									
8	0	6									
5	7	0									
0	6	9									
10	0	8									
5	7	0									
0	9	10									
7	0	5									
7	10	0									
0	6	6									
8	0	6									
6	10	0									
0	10	9									
9	0	6									
7	8	0									
0	9	8									
8	0	9									
9	8	0									
0	10	5									
8	0	10									
6	9	0									
0	8	6									
10	0	8									
7	5	0									
0	5	5									
6	0	5									
10	9	0									
0	6	8									
5	0	9									
9	9	0									
0	7	8									
9	0	5									
7	8	0									
0	8	8									
8	0	10									
8	7	0									
0	6	7									
9	0	7									
10	8	0									
0	9	6									
6	0	5									
8	5	0									
0	10	10									
9	0	9									
5	6	0									
0	9	7									
8	0	5									
7	8	0									
0	5	10									
6	0	5									
6	8	0									
0	9	9									
6	0	8									
10	5	0									
0	5	10									
9	0	5									
7	6	0									
0	8	8									
5	0	6									
9	8	0									
0	5	7									
8	0	8									
5	6	0									
0	5	8									
8	0	10									
7	6	0									
0	8	10									
5	0	10									
6	10	0									
0	8	8									
6	0	10									
8	9	0									
0	8	9									
10	0	6									
6	5	0									
0	5	9									
6	0	10									
10	10	0									
0	5	7									
10	0	9									
5	5	0									
0	9	10									
6	0	6									
5	8	0									
0	6	5									
7	0	5									
6	7	0									
0	7	9									
10	0	10									
10	9	0									
0	6	5									
8	0	10									
5	6	0									
0	10	8									
10	0	8									
7	9	0									
0	6	6									
10	0	5									
8	10	0									
0	9	10									
10	0	10									
7	9	0									
0	8	8									
7	0	9									
8	5	0									
0	8	7									
6	0	8									
9	5	0									
0	10	10									
6	0	8									
9	8	0									
0	6	9									
6	0	10									
6	7	0									
0	9	10									
7	0	6									
7	9	0									
0	10	7									
10	0	9									
9	5	0									
